train,val
0.0012975095520309276,0.003354781279950857
0.001141135776592764,0.002627341562357487
0.0010590912422329378,0.002708662517894792
0.0010391433473718695,0.0021802266641227507
0.0010473027708260826,0.0028615642797553955
0.0010679101847675058,0.0024892364165613645
0.0009750145362481104,0.002437264878918962
0.0010786780667276397,0.002144616829066696
0.0010341968319558675,0.0028901910545977355
0.0010139020480684016,0.0029391446764859166
0.000985623453875249,0.0021086883327991863
0.0010502481946644705,0.002059177018165384
0.0010278936166966549,0.0026448518394495404
0.0010427536618265888,0.002056618125984309
0.0009650675473417926,0.0022357280947134556
0.0010409352340415001,0.0022024420163134204
0.0009908434294575053,0.002048340281429019
0.0010723047257067582,0.002124704837248229
0.0009523254389571239,0.0026397865406512966
0.0009693515967831128,0.0027094538465196197
0.0010215327515542883,0.002413664839767124
0.0009896965868053035,0.0016037717911630597
0.000991196849121567,0.0026660293014862052
0.000995205696801941,0.0021623106956944757
0.0009585195801275448,0.002663668561847483
0.0009710142883989877,0.0018275063145954003
0.0009457786077620263,0.002366466950639378
