,epoch,loss_train,loss_val
0,0,0.0015143678756430745,0.0034280160907655954
1,1,0.0007761921151541173,0.0019162822281941772
2,2,0.0003963587514590472,0.000996131100691855
3,3,0.00017261096218135208,0.00048825214616954327
4,4,6.353453500196338e-05,0.00024577288422733545
5,5,2.0573055735439993e-05,0.00014011122402735054
6,6,6.375822977133794e-06,9.480758308200166e-05
7,7,2.2530057322001085e-06,7.471247954526916e-05
8,8,1.1739418823708547e-06,6.535282591357827e-05
9,9,9.238629559149558e-07,6.080099046812393e-05
10,10,8.78764524259168e-07,5.850974775967188e-05
11,11,8.771253874328977e-07,5.731907003792003e-05
12,12,8.811334737401921e-07,5.667562800226733e-05
13,13,8.836343567963922e-07,5.630780287901871e-05
14,14,8.842173429002287e-07,5.607932325801812e-05
15,15,8.835505695969914e-07,5.592198431259021e-05
16,16,8.821529604574607e-07,5.5801767302909866e-05
17,17,8.803607443041983e-07,5.569952554651536e-05
18,18,8.783740668150131e-07,5.5606564274057746e-05
19,19,8.762951324570167e-07,5.55189217266161e-05
20,20,8.74176748766331e-07,5.543404404306784e-05
21,21,8.720262485439889e-07,5.535042510018684e-05
22,22,8.698731335243792e-07,5.5267482821363956e-05
23,23,8.677280902702478e-07,5.518550824490376e-05
24,24,8.65581966991158e-07,5.510423216037452e-05
25,25,8.634387427264301e-07,5.502297426573932e-05
26,26,8.613108661847946e-07,5.494209472090006e-05
27,27,8.591865707785473e-07,5.4861291573615745e-05
28,28,8.570772820348793e-07,5.4780797654530033e-05
29,29,8.549582162231673e-07,5.47005984117277e-05
30,30,8.528599551027582e-07,5.4620843002339825e-05
31,31,8.50763854032266e-07,5.454088750411756e-05
32,32,8.486832712151227e-07,5.446133218356408e-05
33,33,8.466103054161067e-07,5.4382282542064786e-05
34,34,8.445406365353847e-07,5.4303440265357494e-05
35,35,8.424842690146761e-07,5.422476169769652e-05
36,36,8.404282425544807e-07,5.4146225011209026e-05
37,37,8.383899512409698e-07,5.4067921155365184e-05
38,38,8.363497840946366e-07,5.399006840889342e-05
39,39,8.343196213900228e-07,5.391219019657001e-05
40,40,8.32306227493973e-07,5.3834890422876924e-05
41,41,8.302930609715986e-07,5.375796172302216e-05
42,42,8.28284896670084e-07,5.368069469113834e-05
43,43,8.262881578957604e-07,5.360384602681734e-05
44,44,8.243038678301673e-07,5.352711013983935e-05
45,45,8.223273084695393e-07,5.345079262042418e-05
46,46,8.203576840060123e-07,5.337496259016916e-05
47,47,8.183910722436849e-07,5.3299041610443965e-05
48,48,8.164268479049497e-07,5.3223400755086914e-05
49,49,8.144812113641819e-07,5.314801092026755e-05
50,50,8.12539724392991e-07,5.3072853916091844e-05
51,51,8.106008522190677e-07,5.2998126193415374e-05
52,52,8.086732918854977e-07,5.292351852403954e-05
53,53,8.067499948083423e-07,5.284926373860799e-05
54,54,8.048257313930662e-07,5.2774674259126186e-05
55,55,8.029268201426021e-07,5.270067777018994e-05
56,56,8.010235319488856e-07,5.2626932301791385e-05
57,57,7.991222332748293e-07,5.25533250765875e-05
58,58,7.972358844199334e-07,5.248021989245899e-05
59,59,7.953627232382132e-07,5.2407438488444313e-05
60,60,7.934870041026443e-07,5.233513002167456e-05
61,61,7.916062259027967e-07,5.226231223787181e-05
62,62,7.897494924691273e-07,5.2190080168657005e-05
63,63,7.878969654484536e-07,5.211797542870045e-05
64,64,7.860540449655673e-07,5.204588524065912e-05
65,65,7.84214819304907e-07,5.1974337111460045e-05
66,66,7.823686587471457e-07,5.190277806832455e-05
67,67,7.805431323504308e-07,5.183152825338766e-05
68,68,7.787261324665451e-07,5.176024933462031e-05
69,69,7.769103831378743e-07,5.1688795792870224e-05
70,70,7.751093562546885e-07,5.1618193538160995e-05
71,71,7.7331594638963e-07,5.154770769877359e-05
72,72,7.715271408414992e-07,5.147717092768289e-05
73,73,7.697426553932019e-07,5.140711073181592e-05
74,74,7.679676627958543e-07,5.1337305194465443e-05
75,75,7.661842005290964e-07,5.126765609020367e-05
76,76,7.644159154551744e-07,5.119815614307299e-05
77,77,7.6265473580861e-07,5.1128976338077337e-05
78,78,7.608947498738416e-07,5.105963646201417e-05
79,79,7.591531812067842e-07,5.0990780437132344e-05
80,80,7.574120104436588e-07,5.092248829896562e-05
81,81,7.556732839475444e-07,5.085401062387973e-05
82,82,7.539430271208403e-07,5.07859222125262e-05
83,83,7.522174882979016e-07,5.071772466180846e-05
84,84,7.505045118705311e-07,5.065000004833564e-05
85,85,7.487871016564895e-07,5.058219176135026e-05
86,86,7.470798095710052e-07,5.051447806181386e-05
87,87,7.453842272298061e-07,5.0447088142391294e-05
88,88,7.436957503159647e-07,5.038017116021365e-05
89,89,7.420001679747656e-07,5.031334876548499e-05
90,90,7.40321979719738e-07,5.024652637075633e-05
91,91,7.386431661871029e-07,5.017977673560381e-05
92,92,7.369804393420054e-07,5.011366374674253e-05
93,93,7.35313165023399e-07,5.0047474360326305e-05
94,94,7.336544172176218e-07,4.99813977512531e-05
95,95,7.320064128180093e-07,4.9915881390916184e-05
96,96,7.30357896827627e-07,4.985026680515148e-05
97,97,7.287192147487076e-07,4.9784761358750984e-05
98,98,7.270874107234704e-07,4.971954331267625e-05
99,99,7.254580509652442e-07,4.965429980074987e-05
